County,Doctor,Percentage 
Mombasa,61.3,99.2
Kwale,15.2,95.7
Kilifi,70,98.2
Tana River,0.1,93.6
Lamu,6.3,95.7
Taita Taveta,24.5,97.9
Garissa,2.9,87.3
Wajir,4,57.6
Mandera,25.7,50.5
Marsabit,12.9,75.6
Isiolo,20.6,96
Meru,24.2,97.3
Tharaka-Nithi,22.5,98.3
Embu,21.5,99.2
Kitui,11.2,97.5
Machakos,24.1,98.8
Makueni,5.7,98
Nyandarua,40.4,96.7
Nyeri,62.3,96.7
Kirinyaga,36.8,96.4
Murang'a,74.3,97.4
Kiambu,69.3,97.9
Turkana,0.6,91
West Pokot,14.7,85.2
Samburu,2.7,73.8
Trans Nzoia,44.6,92
Uasin Gishu,30.4,96.1
Elgeyo-Marakwet,20.8,98.1
Nandi,8.5,98.5
Baringo,11.5,92.8
Laikipia,23.8,93.7
Nakuru,39.9,95.6
Narok,13.5,91.6
Kajiado,59.9,96.7
Kericho,46.8,97.1
Bomet,30,93.5
Kakamega,29.4,96.4
Vihiga,16.5,97.1
Bungoma,13.2,97.6
Busia,20.8,97.6
Siaya,1.6,97.8
Kisumu,21.9,98.4
Homa Bay,23.1,93.5
Migori,4.5,96.4
Kisii,10.7,97.7
Nyamira,7.7,96.4
Nairobi,44.8,97.6
